date,value
2017-12-31,57.6
2018-01-31,56.29
2018-02-28,55.67
2018-03-31,57.26
2018-04-30,62.0
2018-05-31,62.59
2018-06-30,62.76
2018-07-31,62.78
2018-08-31,68.08
2018-09-30,65.59
2018-10-31,65.77
2018-11-30,66.63
2018-12-31,69.47
2019-01-31,66.1
2019-02-28,65.76
2019-03-31,64.73
2019-04-30,64.69
2019-05-31,65.06
2019-06-30,63.08
2019-07-31,63.38
2019-08-31,66.49
2019-09-30,64.42
2019-10-31,63.87
2019-11-30,64.08
2019-12-31,61.91
2020-01-31,63.04
2020-02-29,66.99
2020-03-31,77.73
2020-04-30,73.69
2020-05-31,70.75
2020-06-30,69.95
2020-07-31,73.36
2020-08-31,74.64
2020-09-30,79.68
2020-10-31,79.33
2020-11-30,75.86
2020-12-31,73.88
2021-01-31,76.25
2021-02-28,74.44
2021-03-31,75.7
2021-04-30,74.38
2021-05-31,73.59
2021-06-30,72.37
2021-07-31,73.14
2021-08-31,73.57
2021-09-30,72.76
2021-10-31,70.52
2021-11-30,74.98
2021-12-31,74.29
2022-01-31,77.82
2022-02-28,83.55
2022-03-31,84.09
2022-04-30,71.02
2022-05-31,63.1
2022-06-30,51.16
2022-07-31,61.31
2022-08-31,60.37
2022-09-30,57.41
2022-10-31,61.53
2022-11-30,61.07
2022-12-31,70.34
2023-01-31,69.59
2023-02-28,75.43
2023-03-31,77.09
2023-04-30,80.51
2023-05-31,80.69
2023-06-30,87.03
2023-07-31,90.98
2023-08-31,95.93
2023-09-30,97.41
2023-10-31,93.24
2023-11-30,88.88
2023-12-31,89.6883
2024-01-31,89.29
2024-02-29,91.87
2024-03-31,92.37
2024-04-30,91.78
2024-05-31,89.79
2024-06-30,85.75
2024-07-31,86.33
2024-08-31,91.19
2024-09-30,92.71
2024-10-31,97.05
2024-11-30,107.74
2024-12-31,101.68
2025-01-31,98.01
2025-02-28,87.7
2025-03-31,83.68
2025-04-30,81.56
2025-05-31,78.62
2025-06-30,78.47
2025-07-31,81.83
2025-08-31,80.33
2025-09-30,82.87
2025-10-31,80.5
